Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J4,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,115.000000,-109.945000,180.000000,bottom
J5,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,115.000000,-78.125000,180.000000,bottom
J7,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,172.075000,-57.825000,90.000000,bottom
J8,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,172.090000,-129.850000,90.000000,bottom
J1,ROW OUT,Molex_KK-396_5273-12A_1x12_P3.96mm_Vertical,171.960000,-66.085000,180.000000,top
J2,COLUMN OUT,Molex_KK-396_5273-10A_1x10_P3.96mm_Vertical,127.400000,-122.210000,90.000000,top
J3,Conn_01x09_Pin,Molex_KK-396_5273-09A_1x09_P3.96mm_Vertical,171.690000,-111.285000,180.000000,top
J6,Conn_01x09_Pin,Molex_KK-396_5273-09A_1x09_P3.96mm_Vertical,171.725000,-90.285000,180.000000,top
AFTERGLOW,,afterglow,125.600000,-125.857500,0.000000,top
