"Comment","Designator","Footprint","LCSC Part Number"
"LED_W","D1,D6,D10,D11,D12,D13,D14,D39,D40,D42,D43,D44,D45,D46,D47,D51,D61,D63,D73,D74,D75,D79","LED_0805_2012Metric","C434437"
"LED_Y","D2,D18,D19,D20,D49,D53,D58,D62","LED_0805_2012Metric","C434437"
"LED_O","D3,D54,D55,D56,D77,D78","LED_0805_2012Metric","C434437"
"LED_R","D4,D8,D9,D16,D17,D24,D41,D59,D64,D66,D68,D70,D80","LED_0805_2012Metric","C434437"
"LED_B","D5,D7,D15,D21,D22,D23,D25,D26,D27,D28,D29,D30,D31,D32,D33,D34,D35,D36,D37,D38,D52,D60,D65,D67,D69,D71,D72","LED_0805_2012Metric","C434437"
"LED_G","D48,D50,D57,D76","LED_0805_2012Metric","C434437"
"Conn_02x03_Odd_Even","J7,J8","PinHeader_2x03_P2.54mm_Vertical","C92272"
"1k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10","R_0805_2012Metric","C17513"
